,2021,2020,2019,Variación 2019-2020,Variación 2019-2021,Evolución 2019,Evolución 2020,Evolución 2021,Difs evolución 19-20,Difs evolución 19-21
ENERO,41966.0,86443,93538,-0.08,-0.55,,,,,
FEBRERO,58279.0,94620,100693,-0.06,-0.42,0.08,0.09,0.39,0.02,0.31
MARZO,85819.0,37644,122659,-0.69,-0.3,0.22,-0.6,0.47,-0.82,0.25
ABRIL,,4163,119417,-0.97,,-0.03,-0.89,,-0.86,
MAYO,,34337,125623,-0.73,,0.05,7.25,,7.2,
JUNIO,,82651,130513,-0.37,,0.04,1.41,,1.37,
JULIO,,117929,116673,0.01,,-0.11,0.43,,0.53,
AGOSTO,,66925,74424,-0.1,,-0.36,-0.43,,-0.07,
SEPTIEMBRE,,70729,81746,-0.13,,0.1,0.06,,-0.04,
OCTUBRE,,72228,93954,-0.23,,0.15,0.02,,-0.13,
NOVIEMBRE,,75708,93155,-0.19,,-0.01,0.05,,0.06,
DICIEMBRE,,105841,105854,-0.0,,0.14,0.4,,0.26,
